GEOID,tract_ce6,spa,spa_num,sup_dist,pov_universe,pov_below,poverty_rate,median_income,households,high_poverty_25
06037143606,143606,SPA 2 - San Fernando,2,District 5,1759,196,0.1114269471290506,99750.0,1031,False
06037143700,143700,SPA 2 - San Fernando,2,District 5,3380,218,0.06449704142011835,176534.0,1786,False
06037143801,143801,SPA 2 - San Fernando,2,District 5,3201,244,0.07622617931896282,169097.0,1404,False
06037143802,143802,SPA 2 - San Fernando,2,District 5,2273,136,0.05983282006159261,156439.0,1057,False
06037143901,143901,SPA 2 - San Fernando,2,District 3,4046,129,0.03188334157192289,206509.0,1655,False
06037143902,143902,SPA 2 - San Fernando,2,District 3,3167,325,0.10262077676034102,155045.0,1415,False
06037181000,181000,SPA 4 - Metro,4,District 1,5516,450,0.08158085569253082,142943.0,2105,False
06037181300,181300,SPA 4 - Metro,4,District 1,4053,266,0.06563039723661486,145125.0,1326,False
06037181400,181400,SPA 4 - Metro,4,District 1,4366,304,0.06962895098488318,105968.0,1658,False
06037181500,181500,SPA 4 - Metro,4,District 1,4014,569,0.14175386148480318,125602.0,1346,False
06037181600,181600,SPA 4 - Metro,4,District 1,2624,122,0.04649390243902439,109688.0,1088,False
06037183101,183101,SPA 4 - Metro,4,District 1,2962,498,0.16812964213369344,91853.0,1201,False
06037183103,183103,SPA 4 - Metro,4,District 1,4370,381,0.08718535469107551,98633.0,1663,False
06037183104,183104,SPA 4 - Metro,4,District 1,1929,204,0.1057542768273717,101563.0,783,False
06037183220,183220,SPA 4 - Metro,4,District 1,2845,193,0.06783831282952549,126000.0,1070,False
06037183221,183221,SPA 4 - Metro,4,District 1,3147,326,0.10359072132189387,112574.0,1126,False
06037183222,183222,SPA 4 - Metro,4,District 1,3444,383,0.11120789779326365,97361.0,1499,False
06037183300,183300,SPA 4 - Metro,4,District 1,3128,249,0.07960358056265984,91638.0,1084,False
06037183401,183401,SPA 4 - Metro,4,District 1,2566,315,0.12275915822291504,105701.0,827,False
06037183402,183402,SPA 4 - Metro,4,District 1,3064,352,0.11488250652741515,105000.0,1100,False
06037183510,183510,SPA 4 - Metro,4,District 1,2430,140,0.05761316872427984,109250.0,782,False
06037183520,183520,SPA 4 - Metro,4,District 1,3430,479,0.13965014577259474,67048.0,1143,False
06037183610,183610,SPA 4 - Metro,4,District 1,2823,490,0.17357421183138505,79955.0,964,False
06037183620,183620,SPA 4 - Metro,4,District 1,3062,392,0.1280209013716525,108256.0,1060,False
06037183701,183701,SPA 4 - Metro,4,District 1,3445,490,0.14223512336719885,77865.0,1304,False
06037183702,183702,SPA 4 - Metro,4,District 1,2991,123,0.041123370110330994,103026.0,1086,False
06037183810,183810,SPA 4 - Metro,4,District 1,4139,869,0.2099540951920754,89137.0,1547,False
06037183820,183820,SPA 4 - Metro,4,District 1,3561,308,0.08649255827014883,79543.0,1321,False
06037185101,185101,SPA 4 - Metro,4,District 1,2355,68,0.028874734607218684,82521.0,1037,False
06037185102,185102,SPA 4 - Metro,4,District 1,3503,306,0.08735369683128746,135506.0,1443,False
06037185202,185202,SPA 4 - Metro,4,District 1,4099,280,0.06830934374237618,117667.0,1562,False
06037185203,185203,SPA 4 - Metro,4,District 1,2497,329,0.131758109731678,84485.0,851,False
06037185204,185204,SPA 4 - Metro,4,District 1,1888,286,0.15148305084745764,123500.0,722,False
06037185310,185310,SPA 4 - Metro,4,District 1,2864,574,0.20041899441340782,78438.0,869,False
06037185320,185320,SPA 4 - Metro,4,District 1,2843,660,0.2321491382342596,59309.0,955,False
06037186100,186100,SPA 4 - Metro,4,District 1,4631,227,0.049017490822716475,102429.0,1862,False
06037186201,186201,SPA 4 - Metro,4,District 1,3342,386,0.11549970077797726,82055.0,1312,False
06037186202,186202,SPA 4 - Metro,4,District 1,1808,255,0.14103982300884957,97083.0,760,False
06037186203,186203,SPA 4 - Metro,4,District 1,2753,240,0.08717762440973484,147833.0,1056,False
06037186301,186301,SPA 4 - Metro,4,District 1,2675,532,0.1988785046728972,71518.0,876,False
06037186302,186302,SPA 4 - Metro,4,District 1,4719,308,0.06526806526806526,89880.0,1902,False
06037186401,186401,SPA 4 - Metro,4,District 1,2948,652,0.22116689280868385,61250.0,868,False
06037186403,186403,SPA 4 - Metro,4,District 1,2524,228,0.09033280507131537,95875.0,767,False
06037186404,186404,SPA 4 - Metro,4,District 1,2528,649,0.2567246835443038,85417.0,776,True
06037187101,187101,SPA 4 - Metro,4,District 1,3086,181,0.05865197666882696,91417.0,1270,False
06037187102,187102,SPA 4 - Metro,4,District 1,4494,917,0.20404984423676012,72760.0,1613,False
06037187200,187200,SPA 4 - Metro,4,District 1,2908,259,0.0890646492434663,93521.0,1075,False
06037187300,187300,SPA 4 - Metro,4,District 1,3820,296,0.0774869109947644,115000.0,1642,False
06037188100,188100,SPA 4 - Metro,4,District 1,3735,555,0.14859437751004015,81283.0,1909,False
06037188201,188201,SPA 4 - Metro,4,District 5,2834,363,0.12808750882145378,94063.0,1653,False
06037188202,188202,SPA 4 - Metro,4,District 5,3043,199,0.06539599079855406,192140.0,1299,False
06037188300,188300,SPA 4 - Metro,4,District 1,3227,175,0.05422993492407809,124728.0,1354,False
06037189101,189101,SPA 4 - Metro,4,District 5,2461,189,0.07679804957334417,104003.0,1259,False
06037189102,189102,SPA 4 - Metro,4,District 5,3797,267,0.07031867263629181,116402.0,1949,False
06037189201,189201,SPA 4 - Metro,4,District 5,2779,466,0.16768621806405182,72625.0,1759,False
06037189202,189202,SPA 4 - Metro,4,District 5,3155,172,0.05451664025356577,161354.0,1415,False
06037189300,189300,SPA 4 - Metro,4,District 5,2737,353,0.1289733284618195,182614.0,1348,False
06037189400,189400,SPA 4 - Metro,4,District 5,3009,294,0.09770687936191426,138444.0,1600,False
06037189501,189501,SPA 4 - Metro,4,District 5,2214,255,0.11517615176151762,86563.0,1490,False
06037189502,189502,SPA 4 - Metro,4,District 5,1842,402,0.2182410423452769,55202.0,1283,False
06037189600,189600,SPA 4 - Metro,4,District 5,3658,336,0.09185347184253691,96755.0,2044,False
06037189702,189702,SPA 4 - Metro,4,District 5,2382,206,0.08648194794290512,84286.0,1476,False
06037189703,189703,SPA 4 - Metro,4,District 5,1993,148,0.07425990968389362,100903.0,1055,False
06037189704,189704,SPA 4 - Metro,4,District 5,2099,288,0.13720819437827536,164233.0,977,False
06037189801,189801,SPA 4 - Metro,4,District 3,2192,129,0.05885036496350365,77386.0,1499,False
